C,Nodal Load Weights Report
C,Filename: nodal_load_weights_202207_4002.csv
C,Report generated 2023-01-04 03:20:44 EST
H,Day,Hour,Location ID,Network Node Description,MW Factor,Energy Component,Congestion Component,Marginal Loss Component,Price
"D","2022-07-01","01","4418","LD.MADBURY 34.5","31","55.38","0.0","1.09","56.47"
"D","2022-07-01","01","4419","LD.RCHSTER 34.5","26","55.38","0.0","1.1","56.48"
"D","2022-07-01","01","10038","LD.GREATBAY34.5","19","55.38","0.0","1.4","56.78"
"D","2022-07-01","01","10039","LD.PORTSMTH34.5","25","55.38","0.0","1.45","56.83"
"D","2022-07-01","01","10850","LD.BEDFORD 34.5","30","55.38","0.0","-0.04","55.34"
"D","2022-07-01","01","11413","LD.BRENTWOD34.5","11","55.38","0.0","0.75","56.13"
"D","2022-07-01","01","14841","LD.WEARE   34.5","11","55.38","0.0","0.43","55.81"
"D","2022-07-01","01","40041","LD.BELLWSFL69","6","55.38","0.0","0.55","55.93"
"D","2022-07-01","01","40045","LD.THORNTON34.5","17","55.38","0.0","0.42","55.8"
"D","2022-07-01","01","42609","LD.MICHL_AV13.2","5","55.38","0.0","0.69","56.07"
"D","2022-07-01","01","42637","LD.BELLWSFL46","17","55.38","0.0","0.55","55.93"
"D","2022-07-01","01","43588","LD.TIMBER  34.5","41","55.38","0.0","-0.09","55.29"
"D","2022-07-01","01","43968","LD.TASKERFM34.5","14","55.38","0.0","1.1","56.48"
"D","2022-07-01","01","46716","LD.MILL_PD 12.5","5","55.38","0.0","1.48","56.86"
"D","2022-07-01","01","47297","LD.BRIDGE_S4.16","4","55.38","0.0","0.28","55.66"
"D","2022-07-01","01","47742","LD.KNGSTNUT34.5","22","55.38","0.0","0.62","56.0"
"D","2022-07-01","01","48673","LD.N_KEENE 12.5","9","55.38","0.0","0.16","55.54"
"D","2022-07-01","01","49421","LD.BROKENGD34.5","13","55.38","0.0","0.57","55.95"
"D","2022-07-01","02","4264","LD.COMERFRD34.5","4","51.49","0.0","-0.88","50.61"
"D","2022-07-01","02","4265","LD.MOORE   13.8","2","51.49","0.0","-0.95","50.54"
"D","2022-07-01","02","4266","LD.SLAYTNHL13.8","12","51.49","0.0","1.03","52.52"
"D","2022-07-01","02","4267","LD.MT_SUPP 13.8","23","51.49","0.0","1.07","52.56"
"D","2022-07-01","02","4331","LD.WILDER  13.8","8","51.49","0.0","1.04","52.53"
"D","2022-07-01","02","4357","LD.PELHAM  13.2","11","51.49","0.0","0.11","51.6"
"D","2022-07-01","02","4376","LD.AMHERST 34.5","37","51.49","0.0","0.05","51.54"
"D","2022-07-01","02","4377","LD.SCOBIE  12.5","13","51.49","0.0","-0.05","51.44"
"D","2022-07-01","02","4378","LD.LAWRENCE34.5","18","51.49","0.0","-0.15","51.34"
"D","2022-07-01","02","4379","LD.PEMIGWAS34.5","11","51.49","0.0","0.64","52.13"
"D","2022-07-01","02","4380","LD.RIMMON  34.5","25","51.49","0.0","0.35","51.84"
"D","2022-07-01","02","4381","LD.LOSTNATN34.5","5","51.49","0.0","-1.95","49.54"
"D","2022-07-01","02","4383","LD.BERLN_NH34.5","7","51.49","0.0","-1.95","49.54"
"D","2022-07-01","02","4384","LD.WHITEFLD34.5","10","51.49","0.0","-1.95","49.54"
"D","2022-07-01","02","4385","LD.N_WODSTK34.5","5","51.49","0.0","-0.34","51.15"
"D","2022-07-01","02","4386","LD.BEEBE   34.5","9","51.49","0.0","0.15","51.64"
"D","2022-07-01","02","4387","LD.WHITE_LK34.5","19","51.49","0.0","1.58","53.07"
"D","2022-07-01","02","4388","LD.INTERVAL34.5","8","51.49","0.0","1.54","53.03"
"D","2022-07-01","02","4389","LD.SACO_VLY34.5","9","51.49","0.0","1.54","53.03"
"D","2022-07-01","02","4390","LD.ASHLAND 34.5","15","51.49","0.0","0.43","51.92"
"D","2022-07-01","02","4391","LD.OAK_HILL34.5","28","51.49","0.0","0.49","51.98"
"D","2022-07-01","02","4392","LD.WEBSTER 34.5","17","51.49","0.0","0.73","52.22"
"D","2022-07-01","02","4393","LD.LACONIA 34.5","27","51.49","0.0","0.73","52.22"
"D","2022-07-01","02","4394","LD.NORTH_RD34.5","21","51.49","0.0","0.81","52.3"
"D","2022-07-01","02","4395","LD.GARVINS 34.5","31","51.49","0.0","0.28","51.77"
"D","2022-07-01","02","4396","LD.EDDY    34.5","32","51.49","0.0","0.36","51.85"
"D","2022-07-01","02","4398","LD.PINEHILL34.5","25","51.49","0.0","0.33","51.82"
"D","2022-07-01","02","4399","LD.JACKMAN 34.5","16","51.49","0.0","0.38","51.87"
"D","2022-07-01","02","4400","LD.EMRLD_ST12.5","16","51.49","0.0","0.31","51.8"
"D","2022-07-01","02","4401","LD.SWANZEY 12.5","3","51.49","0.0","0.3","51.79"
"D","2022-07-01","02","4402","LD.CHSTNTHL34.5","8","51.49","0.0","0.14","51.63"
"D","2022-07-01","02","4403","LD.MONADNCK34.5","19","51.49","0.0","0.18","51.67"
"D","2022-07-01","02","4404","LD.MAMOTHRD34.5","19","51.49","0.0","-0.18","51.31"
"D","2022-07-01","02","4405","LD.RDSFERRY34.5","12","51.49","0.0","0.35","51.84"
"D","2022-07-01","02","4406","LD.S_MILFRD34.5","19","51.49","0.0","0.35","51.84"
"D","2022-07-01","02","4407","LD.ANHEUSBH12.5","4","51.49","0.0","0.31","51.8"
"D","2022-07-01","02","4408","LD.HUDSON  34.5","18","51.49","0.0","0.19","51.68"
"D","2022-07-01","02","4409","LD.BRIDGE_S34.5","20","51.49","0.0","0.19","51.68"
"D","2022-07-01","02","4410","LD.LONGHILL34.5","23","51.49","0.0","0.19","51.68"
"D","2022-07-01","02","4411","LD.HUSE_RD 34.5","32","51.49","0.0","-0.06","51.43"
"D","2022-07-01","02","4412","LD.CHESTER 34.5","15","51.49","0.0","0.09","51.58"
"D","2022-07-01","02","4413","LD.OCEAN_RD34.5","14","51.49","0.0","1.2","52.69"
"D","2022-07-01","02","4414","LD.SCHILLER115","3","51.49","0.0","1.25","52.74"
"D","2022-07-01","02","4415","LD.RESITNCE34.5","10","51.49","0.0","1.25","52.74"
"D","2022-07-01","02","4416","LD.KNGSTNPS34.5","4","51.49","0.0","0.49","51.98"
"D","2022-07-01","02","4417","LD.DOVER   34.5","31","51.49","0.0","1.06","52.55"
"D","2022-07-01","02","4418","LD.MADBURY 34.5","28","51.49","0.0","0.92","52.41"
"D","2022-07-01","02","4419","LD.RCHSTER 34.5","24","51.49","0.0","0.92","52.41"
"D","2022-07-01","02","10038","LD.GREATBAY34.5","18","51.49","0.0","1.19","52.68"
"D","2022-07-01","02","10039","LD.PORTSMTH34.5","25","51.49","0.0","1.24","52.73"
"D","2022-07-01","02","10850","LD.BEDFORD 34.5","28","51.49","0.0","-0.1","51.39"
"D","2022-07-01","02","11413","LD.BRENTWOD34.5","10","51.49","0.0","0.61","52.1"
"D","2022-07-01","02","14841","LD.WEARE   34.5","10","51.49","0.0","0.28","51.77"
"D","2022-07-01","02","40041","LD.BELLWSFL69","6","51.49","0.0","0.62","52.11"
"D","2022-07-01","02","40045","LD.THORNTON34.5","16","51.49","0.0","0.31","51.8"
"D","2022-07-01","02","42609","LD.MICHL_AV13.2","5","51.49","0.0","0.73","52.22"
"D","2022-07-01","02","42637","LD.BELLWSFL46","17","51.49","0.0","0.62","52.11"
"D","2022-07-01","02","43588","LD.TIMBER  34.5","38","51.49","0.0","-0.14","51.35"
"D","2022-07-01","02","43968","LD.TASKERFM34.5","13","51.49","0.0","0.92","52.41"
"D","2022-07-01","02","46716","LD.MILL_PD 12.5","4","51.49","0.0","1.27","52.76"
"D","2022-07-01","02","47297","LD.BRIDGE_S4.16","4","51.49","0.0","0.19","51.68"
"D","2022-07-01","02","47742","LD.KNGSTNUT34.5","20","51.49","0.0","0.49","51.98"
"D","2022-07-01","02","48673","LD.N_KEENE 12.5","8","51.49","0.0","0.32","51.81"
"D","2022-07-01","02","49421","LD.BROKENGD34.5","12","51.49","0.0","0.41","51.9"
"D","2022-07-01","03","4264","LD.COMERFRD34.5","5","50.39","0.0","-0.62","49.77"
"D","2022-07-01","03","4265","LD.MOORE   13.8","2","50.39","0.0","-0.7","49.69"
"D","2022-07-01","03","4266","LD.SLAYTNHL13.8","11","50.39","0.0","1.11","51.5"
"D","2022-07-01","03","4267","LD.MT_SUPP 13.8","23","50.39","0.0","1.14","51.53"
"D","2022-07-01","03","4331","LD.WILDER  13.8","7","50.39","0.0","1.12","51.51"
"D","2022-07-01","03","4357","LD.PELHAM  13.2","10","50.39","0.0","0.19","50.58"
"D","2022-07-01","03","4376","LD.AMHERST 34.5","35","50.39","0.0","0.09","50.48"
"D","2022-07-01","03","4377","LD.SCOBIE  12.5","12","50.39","0.0","-0.01","50.38"
"D","2022-07-01","03","4378","LD.LAWRENCE34.5","17","50.39","0.0","-0.13","50.26"
"D","2022-07-01","03","4379","LD.PEMIGWAS34.5","11","50.39","0.0","0.73","51.12"
"D","2022-07-01","03","4380","LD.RIMMON  34.5","22","50.39","0.0","0.43","50.82"
"D","2022-07-01","03","4381","LD.LOSTNATN34.5","5","50.39","0.0","-1.67","48.72"
"D","2022-07-01","03","4383","LD.BERLN_NH34.5","7","50.39","0.0","-1.67","48.72"
"D","2022-07-01","03","4384","LD.WHITEFLD34.5","10","50.39","0.0","-1.67","48.72"
"D","2022-07-01","03","4385","LD.N_WODSTK34.5","5","50.39","0.0","-0.16","50.23"
"D","2022-07-01","03","4386","LD.BEEBE   34.5","9","50.39","0.0","0.28","50.67"
"D","2022-07-01","03","4387","LD.WHITE_LK34.5","18","50.39","0.0","1.5","51.89"
"D","2022-07-01","03","4388","LD.INTERVAL34.5","8","50.39","0.0","1.44","51.83"
"D","2022-07-01","03","4389","LD.SACO_VLY34.5","8","50.39","0.0","1.44","51.83"
"D","2022-07-01","03","4390","LD.ASHLAND 34.5","15","50.39","0.0","0.54","50.93"
"D","2022-07-01","03","4391","LD.OAK_HILL34.5","26","50.39","0.0","0.59","50.98"
"D","2022-07-01","03","4392","LD.WEBSTER 34.5","16","50.39","0.0","0.81","51.2"
"D","2022-07-01","03","4393","LD.LACONIA 34.5","26","50.39","0.0","0.81","51.2"
"D","2022-07-01","03","4394","LD.NORTH_RD34.5","19","50.39","0.0","0.87","51.26"
"D","2022-07-01","03","4395","LD.GARVINS 34.5","30","50.39","0.0","0.39","50.78"
"D","2022-07-01","03","4396","LD.EDDY    34.5","30","50.39","0.0","0.45","50.84"
"D","2022-07-01","03","4398","LD.PINEHILL34.5","24","50.39","0.0","0.38","50.77"
"D","2022-07-01","03","4399","LD.JACKMAN 34.5","16","50.39","0.0","0.44","50.83"
"D","2022-07-01","03","4400","LD.EMRLD_ST12.5","15","50.39","0.0","0.39","50.78"
"D","2022-07-01","03","4401","LD.SWANZEY 12.5","3","50.39","0.0","0.38","50.77"
"D","2022-07-01","03","4402","LD.CHSTNTHL34.5","7","50.39","0.0","0.24","50.63"
"D","2022-07-01","03","4403","LD.MONADNCK34.5","18","50.39","0.0","0.25","50.64"
"D","2022-07-01","03","4404","LD.MAMOTHRD34.5","19","50.39","0.0","-0.1","50.29"
"D","2022-07-01","03","4405","LD.RDSFERRY34.5","12","50.39","0.0","0.4","50.79"
"D","2022-07-01","03","4406","LD.S_MILFRD34.5","18","50.39","0.0","0.4","50.79"
"D","2022-07-01","03","4407","LD.ANHEUSBH12.5","4","50.39","0.0","0.35","50.74"
"D","2022-07-01","03","4408","LD.HUDSON  34.5","17","50.39","0.0","0.23","50.62"
"D","2022-07-01","03","4409","LD.BRIDGE_S34.5","19","50.39","0.0","0.23","50.62"
"D","2022-07-01","03","4410","LD.LONGHILL34.5","22","50.39","0.0","0.23","50.62"
"D","2022-07-01","03","4411","LD.HUSE_RD 34.5","31","50.39","0.0","0.0","50.39"
"D","2022-07-01","03","4412","LD.CHESTER 34.5","14","50.39","0.0","0.12","50.51"
"D","2022-07-01","03","4413","LD.OCEAN_RD34.5","14","50.39","0.0","1.19","51.58"
"D","2022-07-01","03","4414","LD.SCHILLER115","9","50.39","0.0","1.23","51.62"
"D","2022-07-01","03","4415","LD.RESITNCE34.5","10","50.39","0.0","1.23","51.62"
"D","2022-07-01","03","4416","LD.KNGSTNPS34.5","4","50.39","0.0","0.5","50.89"
"D","2022-07-01","03","4417","LD.DOVER   34.5","30","50.39","0.0","1.04","51.43"
"D","2022-07-01","03","4418","LD.MADBURY 34.5","27","50.39","0.0","0.91","51.3"
"D","2022-07-01","03","4419","LD.RCHSTER 34.5","23","50.39","0.0","0.9","51.29"
"D","2022-07-01","03","10038","LD.GREATBAY34.5","18","50.39","0.0","1.18","51.57"
"D","2022-07-01","03","10039","LD.PORTSMTH34.5","25","50.39","0.0","1.23","51.62"
"D","2022-07-01","03","10850","LD.BEDFORD 34.5","28","50.39","0.0","-0.03","50.36"
"D","2022-07-01","03","11413","LD.BRENTWOD34.5","9","50.39","0.0","0.62","51.01"
"D","2022-07-01","03","14841","LD.WEARE   34.5","10","50.39","0.0","0.36","50.75"
"D","2022-07-01","03","40041","LD.BELLWSFL69","6","50.39","0.0","0.68","51.07"
"D","2022-07-01","03","40045","LD.THORNTON34.5","15","50.39","0.0","0.35","50.74"
"D","2022-07-01","03","42609","LD.MICHL_AV13.2","4","50.39","0.0","0.8","51.19"
"D","2022-07-01","03","42637","LD.BELLWSFL46","17","50.39","0.0","0.68","51.07"
"D","2022-07-01","03","43588","LD.TIMBER  34.5","36","50.39","0.0","-0.12","50.27"
"D","2022-07-01","03","43968","LD.TASKERFM34.5","12","50.39","0.0","0.9","51.29"
"D","2022-07-01","03","46716","LD.MILL_PD 12.5","4","50.39","0.0","1.25","51.64"
"D","2022-07-01","03","47297","LD.BRIDGE_S4.16","4","50.39","0.0","0.23","50.62"
"D","2022-07-01","03","47742","LD.KNGSTNUT34.5","19","50.39","0.0","0.5","50.89"
"D","2022-07-01","03","48673","LD.N_KEENE 12.5","8","50.39","0.0","0.39","50.78"
"D","2022-07-01","03","49421","LD.BROKENGD34.5","12","50.39","0.0","0.51","50.9"
"D","2022-07-01","04","4264","LD.COMERFRD34.5","5","48.97","0.0","-0.56","48.41"
"D","2022-07-01","04","4265","LD.MOORE   13.8","2","48.97","0.0","-0.63","48.34"
"D","2022-07-01","04","4266","LD.SLAYTNHL13.8","11","48.97","0.0","1.1","50.07"
"D","2022-07-01","04","4267","LD.MT_SUPP 13.8","22","48.97","0.0","1.14","50.11"
"D","2022-07-01","04","4331","LD.WILDER  13.8","7","48.97","0.0","1.12","50.09"
"D","2022-07-01","04","4357","LD.PELHAM  13.2","10","48.97","0.0","0.2","49.17"
"D","2022-07-01","04","4376","LD.AMHERST 34.5","35","48.97","0.0","0.1","49.07"
"D","2022-07-01","04","4377","LD.SCOBIE  12.5","12","48.97","0.0","0.0","48.97"
"D","2022-07-01","04","4378","LD.LAWRENCE34.5","17","48.97","0.0","-0.13","48.84"
"D","2022-07-01","04","4379","LD.PEMIGWAS34.5","10","48.97","0.0","0.76","49.73"
"D","2022-07-01","04","4380","LD.RIMMON  34.5","22","48.97","0.0","0.46","49.43"
"D","2022-07-01","04","4381","LD.LOSTNATN34.5","5","48.97","0.0","-1.6","47.37"
"D","2022-07-01","04","4383","LD.BERLN_NH34.5","7","48.97","0.0","-1.6","47.37"
"D","2022-07-01","04","4384","LD.WHITEFLD34.5","10","48.97","0.0","-1.6","47.37"
"D","2022-07-01","04","4385","LD.N_WODSTK34.5","4","48.97","0.0","-0.12","48.85"
"D","2022-07-01","04","4386","LD.BEEBE   34.5","9","48.97","0.0","0.3","49.27"
"D","2022-07-01","04","4387","LD.WHITE_LK34.5","18","48.97","0.0","1.47","50.44"
"D","2022-07-01","04","4388","LD.INTERVAL34.5","7","48.97","0.0","1.41","50.38"
"D","2022-07-01","04","4389","LD.SACO_VLY34.5","8","48.97","0.0","1.41","50.38"
"D","2022-07-01","04","4390","LD.ASHLAND 34.5","14","48.97","0.0","0.56","49.53"
"D","2022-07-01","04","4391","LD.OAK_HILL34.5","26","48.97","0.0","0.63","49.6"
"D","2022-07-01","04","4392","LD.WEBSTER 34.5","16","48.97","0.0","0.86","49.83"
"D","2022-07-01","04","4393","LD.LACONIA 34.5","25","48.97","0.0","0.86","49.83"
"D","2022-07-01","04","4394","LD.NORTH_RD34.5","18","48.97","0.0","0.95","49.92"
"D","2022-07-01","04","4395","LD.GARVINS 34.5","29","48.97","0.0","0.44","49.41"
"D","2022-07-01","04","4396","LD.EDDY    34.5","30","48.97","0.0","0.49","49.46"
"D","2022-07-01","04","4398","LD.PINEHILL34.5","24","48.97","0.0","0.4","49.37"
"D","2022-07-01","04","4399","LD.JACKMAN 34.5","15","48.97","0.0","0.42","49.39"
"D","2022-07-01","04","4400","LD.EMRLD_ST12.5","15","48.97","0.0","0.37","49.34"
"D","2022-07-01","04","4401","LD.SWANZEY 12.5","3","48.97","0.0","0.36","49.33"
"D","2022-07-01","04","4402","LD.CHSTNTHL34.5","7","48.97","0.0","0.23","49.2"
"D","2022-07-01","04","4403","LD.MONADNCK34.5","17","48.97","0.0","0.24","49.21"
"D","2022-07-01","04","4404","LD.MAMOTHRD34.5","19","48.97","0.0","-0.07","48.9"
"D","2022-07-01","04","4405","LD.RDSFERRY34.5","11","48.97","0.0","0.41","49.38"
"D","2022-07-01","04","4406","LD.S_MILFRD34.5","18","48.97","0.0","0.4","49.37"
"D","2022-07-01","04","4407","LD.ANHEUSBH12.5","4","48.97","0.0","0.36","49.33"
"D","2022-07-01","04","4408","LD.HUDSON  34.5","17","48.97","0.0","0.24","49.21"
"D","2022-07-01","04","4409","LD.BRIDGE_S34.5","19","48.97","0.0","0.24","49.21"
"D","2022-07-01","04","4410","LD.LONGHILL34.5","21","48.97","0.0","0.24","49.21"
"D","2022-07-01","04","4411","LD.HUSE_RD 34.5","29","48.97","0.0","0.02","48.99"
"D","2022-07-01","04","4412","LD.CHESTER 34.5","13","48.97","0.0","0.12","49.09"
"D","2022-07-01","04","4413","LD.OCEAN_RD34.5","13","48.97","0.0","1.16","50.13"
"D","2022-07-01","04","4414","LD.SCHILLER115","11","48.97","0.0","1.21","50.18"
"D","2022-07-01","04","4415","LD.RESITNCE34.5","10","48.97","0.0","1.21","50.18"
"D","2022-07-01","04","4416","LD.KNGSTNPS34.5","4","48.97","0.0","0.49","49.46"
"D","2022-07-01","04","4417","LD.DOVER   34.5","29","48.97","0.0","1.02","49.99"
"D","2022-07-01","04","4418","LD.MADBURY 34.5","26","48.97","0.0","0.9","49.87"
"D","2022-07-01","04","4419","LD.RCHSTER 34.5","22","48.97","0.0","0.88","49.85"
"D","2022-07-01","04","10038","LD.GREATBAY34.5","17","48.97","0.0","1.15","50.12"
"D","2022-07-01","04","10039","LD.PORTSMTH34.5","25","48.97","0.0","1.2","50.17"
"D","2022-07-01","04","10850","LD.BEDFORD 34.5","28","48.97","0.0","0.0","48.97"
"D","2022-07-01","04","11413","LD.BRENTWOD34.5","9","48.97","0.0","0.61","49.58"
"D","2022-07-01","04","14841","LD.WEARE   34.5","9","48.97","0.0","0.38","49.35"
"D","2022-07-01","04","40041","LD.BELLWSFL69","5","48.97","0.0","0.66","49.63"
"D","2022-07-01","04","40045","LD.THORNTON34.5","15","48.97","0.0","0.36","49.33"
"D","2022-07-01","04","42609","LD.MICHL_AV13.2","4","48.97","0.0","0.8","49.77"
"D","2022-07-01","04","42637","LD.BELLWSFL46","17","48.97","0.0","0.66","49.63"
"D","2022-07-01","04","43588","LD.TIMBER  34.5","35","48.97","0.0","-0.11","48.86"
"D","2022-07-01","04","43968","LD.TASKERFM34.5","11","48.97","0.0","0.88","49.85"
"D","2022-07-01","04","46716","LD.MILL_PD 12.5","4","48.97","0.0","1.22","50.19"
"D","2022-07-01","04","47297","LD.BRIDGE_S4.16","3","48.97","0.0","0.24","49.21"
"D","2022-07-01","04","47742","LD.KNGSTNUT34.5","18","48.97","0.0","0.49","49.46"
"D","2022-07-01","04","48673","LD.N_KEENE 12.5","8","48.97","0.0","0.37","49.34"
"D","2022-07-01","04","49421","LD.BROKENGD34.5","12","48.97","0.0","0.56","49.53"
"D","2022-07-01","05","4264","LD.COMERFRD34.5","6","49.0","0.0","-0.57","48.43"
"D","2022-07-01","05","4265","LD.MOORE   13.8","1","49.0","0.0","-0.65","48.35"
"D","2022-07-01","05","4266","LD.SLAYTNHL13.8","11","49.0","0.0","1.11","50.11"
"D","2022-07-01","05","4267","LD.MT_SUPP 13.8","23","49.0","0.0","1.14","50.14"
"D","2022-07-01","05","4331","LD.WILDER  13.8","7","49.0","0.0","1.12","50.12"
"D","2022-07-01","05","4357","LD.PELHAM  13.2","10","49.0","0.0","0.23","49.23"
"D","2022-07-01","05","4376","LD.AMHERST 34.5","35","49.0","0.0","0.11","49.11"
"D","2022-07-01","05","4377","LD.SCOBIE  12.5","12","49.0","0.0","0.02","49.02"
"D","2022-07-01","05","4378","LD.LAWRENCE34.5","17","49.0","0.0","-0.11","48.89"
"D","2022-07-01","05","4379","LD.PEMIGWAS34.5","10","49.0","0.0","0.78","49.78"
"D","2022-07-01","05","4380","LD.RIMMON  34.5","22","49.0","0.0","0.49","49.49"
"D","2022-07-01","05","4381","LD.LOSTNATN34.5","5","49.0","0.0","-1.71","47.29"
"D","2022-07-01","05","4383","LD.BERLN_NH34.5","6","49.0","0.0","-1.71","47.29"
"D","2022-07-01","05","4384","LD.WHITEFLD34.5","10","49.0","0.0","-1.71","47.29"
"D","2022-07-01","05","4385","LD.N_WODSTK34.5","4","49.0","0.0","-0.15","48.85"
"D","2022-07-01","05","4386","LD.BEEBE   34.5","9","49.0","0.0","0.29","49.29"
"D","2022-07-01","05","4387","LD.WHITE_LK34.5","17","49.0","0.0","1.48","50.48"
"D","2022-07-01","05","4388","LD.INTERVAL34.5","7","49.0","0.0","1.43","50.43"
"D","2022-07-01","05","4389","LD.SACO_VLY34.5","8","49.0","0.0","1.43","50.43"
"D","2022-07-01","05","4390","LD.ASHLAND 34.5","14","49.0","0.0","0.57","49.57"
"D","2022-07-01","05","4391","LD.OAK_HILL34.5","26","49.0","0.0","0.67","49.67"
"D","2022-07-01","05","4392","LD.WEBSTER 34.5","16","49.0","0.0","0.89","49.89"
"D","2022-07-01","05","4393","LD.LACONIA 34.5","25","49.0","0.0","0.89","49.89"
"D","2022-07-01","05","4394","LD.NORTH_RD34.5","19","49.0","0.0","0.97","49.97"
"D","2022-07-01","05","4395","LD.GARVINS 34.5","28","49.0","0.0","0.47","49.47"
"D","2022-07-01","05","4396","LD.EDDY    34.5","29","49.0","0.0","0.51","49.51"
"D","2022-07-01","05","4398","LD.PINEHILL34.5","24","49.0","0.0","0.42","49.42"
"D","2022-07-01","05","4399","LD.JACKMAN 34.5","15","49.0","0.0","0.46","49.46"
"D","2022-07-01","05","4400","LD.EMRLD_ST12.5","15","49.0","0.0","0.37","49.37"
"D","2022-07-01","05","4401","LD.SWANZEY 12.5","3","49.0","0.0","0.35","49.35"
"D","2022-07-01","05","4402","LD.CHSTNTHL34.5","7","49.0","0.0","0.22","49.22"
