NAME,LATITUDE,LONGITUDE,NAICS_DESC,OPER_CAP,SUMMER_CAP,WINTER_CAP,GEN_UNITS,LINES
DAGUAO,18.23204083,-65.66738936,NOT AVAILABLE,0,42,42,2,0
DOS BOCAS,18.33630643,-66.6666042,NOT AVAILABLE,0,15,15,3,1
GARZAS,18.07334833,-66.73019686,NOT AVAILABLE,0,12.2,12.2,3,0
PATILLAS,18.017533,-66.01902855,NOT AVAILABLE,0,1.4,1.4,2,0
TORO NEGRO,18.13161791,-66.48775373,NOT AVAILABLE,0,8.5,8.5,4,1
VEGA BAJA,18.44607614,-66.39256093,NOT AVAILABLE,0,42,42,2,0
VIEQUES,18.152679,-65.43176,NOT AVAILABLE,0,6.4,6.4,2,0
YABUCOA,18.0484134,-65.85186475,NOT AVAILABLE,0,42,42,2,0
YAUCO,18.11037125,-66.87111932,NOT AVAILABLE,0,34,34,3,1
RIO BLANCO,18.2434389,-65.7851474,NOT AVAILABLE,0,5,5,2,1
"433 PURCHASE SOLAR NG, LLC",41.80767548,-71.1847368,SOLAR ELECTRIC POWER GENERATION,2.5,2,0.5,1,0
NY - PRESBYT. HOSPITAL - 525 E 68TH ST,40.764396,-73.95393,FOSSIL FUEL ELECTRIC POWER GENERATION,22.9,22.9,22.9,10,0
KILLINGLY ENERGY CENTER,41.863732,-71.916835,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
REIDSVILLE ENERGY CENTER,36.334261,-79.832151,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
OLD WARDOUR SOLAR,42.24341363,-72.03061205,SOLAR ELECTRIC POWER GENERATION,5.5,4.3,1.7,1,0
SHUMAN SOLAR,42.114918,-71.066039,SOLAR ELECTRIC POWER GENERATION,2.2,2.2,2.2,1,0
VUELTA SOLAR,42.24109365,-72.03692119,SOLAR ELECTRIC POWER GENERATION,5.5,4.7,1.7,1,0
ACE-STANTON PV,28.47735,-81.18036,SOLAR ELECTRIC POWER GENERATION,4.8,4.8,4.8,1,0
ACE-STANTON A PV,28.48455,-81.17411,SOLAR ELECTRIC POWER GENERATION,4.1,4.1,4.1,1,0
GLOPAK SOLAR PV POWER PLANT,40.575378,-74.39281,SOLAR ELECTRIC POWER GENERATION,1,1,1,2,0
FORT BUCHANAN DISTRIBUTED GENERATION,18.408354,-66.11616,NOT AVAILABLE,0,6.4,6.4,2,0
"HAYWOOD FARM SOLAR, LLC",35.33846713,-79.90104446,SOLAR ELECTRIC POWER GENERATION,4.9,4.9,4.9,1,0
"HOOD FARM SOLAR, LLC",35.205,-77.497,SOLAR ELECTRIC POWER GENERATION,4.9,4.9,4.9,1,0
"INNOVATIVE SOLAR 35, LLC",35.046,-77.825,SOLAR ELECTRIC POWER GENERATION,1.9,1.9,1.9,1,0
"INNOVATIVE SOLAR 59, LLC",36.094719,-77.97928,SOLAR ELECTRIC POWER GENERATION,1.9,1.9,1.9,1,0
"INNOVATIVE SOLAR 60, LLC",36.09127364,-77.99255917,SOLAR ELECTRIC POWER GENERATION,1.9,1.9,1.9,1,0
ROCK FALLS WIND FARM LLC,36.93180971,-97.42329286,WIND ELECTRIC POWER GENERATION,154.5,154.5,154.5,1,0
STUTTGART SOLAR,34.439722,-91.44,SOLAR ELECTRIC POWER GENERATION,81,81,81,1,0
WOLF RUN ENERGY,41.61248482,-76.29918968,FOSSIL FUEL ELECTRIC POWER GENERATION,22,22,22,5,0
ORME PARK WATER TREATMENT PLANT,39.61952,-86.20709,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
HURRICANE CREEK LIFT STATION,39.5879,-86.1858,FOSSIL FUEL ELECTRIC POWER GENERATION,2,2,2,1,0
THUNDER RANCH WIND PROJECT,36.550834,-97.058944,WIND ELECTRIC POWER GENERATION,297.8,297.8,297.8,1,0
RED DIRT WIND PROJECT,36.1,-97.8,WIND ELECTRIC POWER GENERATION,299.3,299.3,299.3,1,0
BILTMORE SOLAR FIELDS,35.561156,-82.58844,SOLAR ELECTRIC POWER GENERATION,1.5,1.5,1.5,1,0
USCG PUERTO RICO PV,18.498007,-67.13052,NOT AVAILABLE,0,1.7,1.7,1,0
WILSON SOLAR FARM 1,35.7,-77.9,SOLAR ELECTRIC POWER GENERATION,3.4,3.3,2,1,0
WILSON SOLAR FARM 2,35.68711171,-78.02523231,SOLAR ELECTRIC POWER GENERATION,5,3.8,3.7,1,0
WILSON SOLAR FARM 3,35.7829315,-77.99170044,SOLAR ELECTRIC POWER GENERATION,10,9,8.1,1,0
WILSON SOLAR FARM 4,35.7,-78,SOLAR ELECTRIC POWER GENERATION,10,9,8.1,1,0
WILSON SOLAR FARM 5,35.6799881,-77.86984534,SOLAR ELECTRIC POWER GENERATION,10,9.5,6.7,1,0
WILSON SOLAR FARM 6,35.68,-77.87,SOLAR ELECTRIC POWER GENERATION,10,9.7,7.2,1,0
WILSON SOLAR FARM 7,35.75,-78,SOLAR ELECTRIC POWER GENERATION,10,9.2,8.4,1,0
APG COMBINED HEAT AND POWER PLANT,39.3977665,-76.29834809,FOSSIL FUEL ELECTRIC POWER GENERATION,7.9,6.2,9,1,0
"BLADENBORO SOLAR, LLC",34.547761,-78.817652,SOLAR ELECTRIC POWER GENERATION,4.8,4.8,4.8,1,0
"LUX SOLAR, LLC",35.241145,-81.429433,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
NILES VALLEY ENERGY LLC,41.81371576,-77.2791726,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
"SUN FARM V, LLC",36.160629,-76.489357,SOLAR ELECTRIC POWER GENERATION,5,4.8,4.8,1,0
"ROXBORO SOLAR FARM, LLC",36.326821,-78.622242,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
JACKSON SOLAR FARM,35.75,-77.83,SOLAR ELECTRIC POWER GENERATION,10,8.6,7.6,1,0
FARLEY ROAD COMMUNITY SOLAR,42.1,-72,SOLAR ELECTRIC POWER GENERATION,1.9,1.9,1.5,1,0
BELCHERTOWN RENEWABLES COMMUNITY SOLAR,42.3,-72.3,SOLAR ELECTRIC POWER GENERATION,4,4,3.2,1,0
THEODORE DRIVE COMMUNITY SOLAR,42.5,-71.8,SOLAR ELECTRIC POWER GENERATION,1.5,1.5,1.2,1,0
UPTON COMMUNITY SOLAR,42.1,-71.7,SOLAR ELECTRIC POWER GENERATION,2,2,1.6,1,0
PLEASANTDALE ROAD COMMUNITY SOLAR,42.4,-71.99982868,SOLAR ELECTRIC POWER GENERATION,1,1,0.8,1,0
HATFIELD RENEWABLES COMMUNITY SOLAR,42.3,-72.7,SOLAR ELECTRIC POWER GENERATION,1.9,1.9,1.5,1,0
MINERAL POINT ENERGY,41.97711057,-75.64744518,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
STOURBRIDGE ENERGY,41.560833,-75.1857,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
WRIGHTER ENERGY,41.87999,-75.55776003,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
BLUFF POINT WIND FACILITY,40.32409681,-84.98291766,WIND ELECTRIC POWER GENERATION,119.7,119.7,119.7,1,0
ANCHOR ENERGY,41.83801422,-78.04811968,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
HOLDRIDGE ENERGY,41.560967,-75.185812,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
RED GLEN ENERGY,40.265,-80.225,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
PETERSON ROAD SOLAR,42.1,-72.3,SOLAR ELECTRIC POWER GENERATION,2.5,2.5,2,1,0
SAMPSON ROAD COMMUNITY SOLAR,42.1,-71.99992862,SOLAR ELECTRIC POWER GENERATION,2,2,1.6,1,0
CRITTENDEN SOLAR FACILITY,38.75187911,-84.6110659,SOLAR ELECTRIC POWER GENERATION,2.7,2.7,2.7,1,0
WALTON 1 SOLAR FACILITY,38.85063686,-84.59258661,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
WALTON 2 SOLAR FACILITY,38.84909497,-84.59030232,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
BPU SOLAR FARM,39.16710225,-94.69498843,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
GOLDEN HILLS SOLAR,42.4,-72,SOLAR ELECTRIC POWER GENERATION,4.7,4.7,3.8,1,0
HIGGINSVILLE SOLAR FARM,39.00210807,-93.72753646,SOLAR ELECTRIC POWER GENERATION,2.5,2.5,2.5,1,0
FARMINGDALE FUEL CELL,40.7425,-73.4136,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
MT. JACKSON SOLAR,38.739621,-78.660158,SOLAR ELECTRIC POWER GENERATION,0,0,0,0,0
CASPER SOLAR CENTER,39.106656,-75.971996,SOLAR ELECTRIC POWER GENERATION,0,0,0,0,0
BIGGS FORD SOLAR CENTER,39.4842444,-77.37404628,SOLAR ELECTRIC POWER GENERATION,0,0,0,0,0
HANNIBAL PORT POWER PROJECT,39.70325945,-80.8451021,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
SALUDA SOLAR II,34.01016243,-81.73875254,SOLAR ELECTRIC POWER GENERATION,3.4,3.4,3.4,1,0
ODYSSEY SOLAR,33.79,-81.266,SOLAR ELECTRIC POWER GENERATION,8.2,8.2,8.2,1,0
HAMPTON SOLAR I,32.87938071,-81.13330457,SOLAR ELECTRIC POWER GENERATION,6.8,6.8,6.8,1,0
CAMERON SOLAR II,33.57469042,-80.70566249,SOLAR ELECTRIC POWER GENERATION,4.1,4.1,4.1,1,0
BARNWELL SOLAR,33.237,-81.351,SOLAR ELECTRIC POWER GENERATION,5.4,5.4,5.4,1,0
CRATER COMMUNITY SOLAR,44.798733,-95.508331,SOLAR ELECTRIC POWER GENERATION,3,2.7,2.7,3,0
DELPHINUS COMMUNITY SOLAR,45.61972618,-94.08885318,SOLAR ELECTRIC POWER GENERATION,2,1.8,1.8,2,0
HOG CREEK WIND PROJECT,40.792851,-83.72930556,WIND ELECTRIC POWER GENERATION,66,66,66,1,0
NISA ELECTRIC GENERATION PROJECT,40.7065,-73.9702,OTHER ELECTRIC POWER GENERATION,0,0,0,0,0
SR INNOVATION - NIKE PV,35.23496623,-89.96240679,SOLAR ELECTRIC POWER GENERATION,1.7,1.7,1.7,1,0
OAK HILL SOLAR ARRAY,37.99084233,-87.5310422,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
VOLKMAN ROAD SOLAR ARRAY,38.1465588,-87.54833097,SOLAR ELECTRIC POWER GENERATION,3,3,3,2,0
NEXT GENERATION SOLAR FARM,44.084824,-73.226647,SOLAR ELECTRIC POWER GENERATION,2.2,2.2,2.2,1,0
GRAFTON PV,42.225504,-71.662614,SOLAR ELECTRIC POWER GENERATION,2.7,2.7,2.7,1,0
BARRETT PV,42.1628209,-71.86338424,SOLAR ELECTRIC POWER GENERATION,11.9,11.9,11.9,1,0
OTTER CREEK WIND FARM LLC,41.055385,-88.993862,WIND ELECTRIC POWER GENERATION,150,150,150,1,0
LONG HENRY SOLAR,35.195302,-77.895125,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
MDFA DEVENS-SARATOGA,42.544134,-71.598813,SOLAR ELECTRIC POWER GENERATION,2.5,2.5,2.5,1,0
BEAR CREEK SOLAR,35.54064143,-79.44881505,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
BONDI SOLAR,35.134054,-77.53849,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
PRINCETON SOLAR PROJECT,40.379736,-74.625694,SOLAR ELECTRIC POWER GENERATION,2.5,2.5,2.5,1,0
VALFILM WIND PROJECT,41.08384359,-83.64468779,WIND ELECTRIC POWER GENERATION,3,3,3,2,0
RED PINE WIND PROJECT,44.478,-96.1538,WIND ELECTRIC POWER GENERATION,200,200,200,1,0
IGS SOLAR I - BWI5,39.27028554,-76.54801785,SOLAR ELECTRIC POWER GENERATION,1.1,1.1,0.8,1,0
IGS SOLAR I - EWR5,40.582,-74.255,SOLAR ELECTRIC POWER GENERATION,1.9,2.9,1.2,1,0
IGS SOLAR I - EWR6,40.583,-74.257,SOLAR ELECTRIC POWER GENERATION,1.9,1.9,1.1,1,0
UTICA AERO SOLAR MAX PV,40.208945,-82.42808,NOT AVAILABLE,0,0,0,0,0
EQUULEUS COMMUNITY SOLAR GARDENS,44.726098,-93.022687,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
HU HONUA BIOENERGY FACILITY,19.84183243,-155.0870274,BIOMASS ELECTRIC POWER GENERATION,0,0,0,0,0
SMITH & WESSON AT SPRINGFIELD MA PV,42.13794,-72.5509,SOLAR ELECTRIC POWER GENERATION,1.9,1.4,1.4,1,0
CENTAURUS SOLAR - MA,42.25322843,-71.42627126,SOLAR ELECTRIC POWER GENERATION,2.4,2.4,2.4,1,0
KEARSARGE BELLINGHAM PV,42.071176,-71.458562,SOLAR ELECTRIC POWER GENERATION,2.9,2.9,2.9,1,0
CLARKE SOLAR POWER FACILITY,39.06485,-78.138207,SOLAR ELECTRIC POWER GENERATION,10,10,10,1,0
CHERRYDALE SOLAR POWER FACILITY,37.36608817,-75.91404967,SOLAR ELECTRIC POWER GENERATION,20,20,20,1,0
CEDAR CREEK PV,40.64889,-73.506672,SOLAR ELECTRIC POWER GENERATION,1.8,1.8,1.8,1,0
NORTHERN WESTCHESTER HOSPITAL,41.196839,-73.725695,FOSSIL FUEL ELECTRIC POWER GENERATION,5.6,5.6,5.6,6,0
DODGESUN CSG,44.040418,-92.69,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
JOHNSON SOLAR CSG,43.912138,-96.187032,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
KOPPELMAN SUN CSG,44.182609,-93.876267,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
LINDSTROM SOLAR CSG,45.31978492,-92.79751271,SOLAR ELECTRIC POWER GENERATION,3,3,3,3,0
RENGSTORF SOLAR CSG,44.259504,-94.28907,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
ST. CLOUD SOLAR CSG,45.477397,-94.121314,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
GEORGIA LFG OAK GROVE PLANT,33.964988,-83.76564,BIOMASS ELECTRIC POWER GENERATION,6.6,6.3,6.3,3,0
GEORGIA LFG PINE RIDGE PLANT,33.244192,-84.122025,BIOMASS ELECTRIC POWER GENERATION,6.6,6.3,6.3,3,0
GEORGIA LFG RICHLAND CREEK PLANT,34.12963968,-84.03224338,BIOMASS ELECTRIC POWER GENERATION,11,10.5,10.5,5,0
AEP JACKSONVILLE SOLAR PROJECT,30.51972565,-81.68421582,SOLAR ELECTRIC POWER GENERATION,7.1,7.1,7.1,1,0
LETCHWORTH SOLAR PROJECT,42.61872154,-78.18090961,SOLAR ELECTRIC POWER GENERATION,1.2,1.2,1.2,1,0
A.J. MIHM GENERATING STATION,46.792669,-88.614009,FOSSIL FUEL ELECTRIC POWER GENERATION,56.4,56.8,56.8,3,0
F.D. KUESTER GENERATING STATION,46.512697,-87.510741,FOSSIL FUEL ELECTRIC POWER GENERATION,131.6,131.6,131.6,7,0
GEORGIA POWER AT JAKIN GA PV,31.138,-85.031,SOLAR ELECTRIC POWER GENERATION,1.5,1.5,1.5,1,0
CANIS MAJOR SOLAR FARM,42.01008503,-72.64914339,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
ASHBY DUFFY CSG SOLAR FARM,42.67985247,-71.83401653,SOLAR ELECTRIC POWER GENERATION,1.8,1.8,1.8,1,0
DEEP BRANCH FARM,34.67025189,-79.19844225,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
PIKEVILLE FARM,35.478155,-77.979166,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
MOORINGS FARM 2,35.30384105,-77.82955287,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
ESSEX SOLAR CENTER,37.834094,-76.799967,SOLAR ELECTRIC POWER GENERATION,20,20,20,1,0
COTTONWOOD WIND ENERGY CENTER,40.240168,-98.405956,WIND ELECTRIC POWER GENERATION,89.7,89.7,89.7,1,0
CANIS MINOR SOLAR FARM,41.89196431,-72.98884343,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
LATITUDE SOLAR CENTER,35.306387,-89.167539,SOLAR ELECTRIC POWER GENERATION,15,15,15,1,0
NYC-HH - CONEY ISLAND HOSPITAL,40.58549,-73.965581,FOSSIL FUEL ELECTRIC POWER GENERATION,2.8,2.8,2.8,3,0
NY TIMES DAILY PRODUCTION FACILITY,40.775397,-73.830918,FOSSIL FUEL ELECTRIC POWER GENERATION,12,12,12,6,0
WEST BOYLSTON COMMUNITY SHARED SOLAR,42.33141911,-71.77135867,SOLAR ELECTRIC POWER GENERATION,1.5,1.5,1.5,1,0
MOUNT SINAI HOSPITAL,40.78999,-73.953689,FOSSIL FUEL ELECTRIC POWER GENERATION,18.7,18.7,18.7,15,0
"SOUTHAMPTON SOLAR, LLC",36.61422843,-77.16670432,SOLAR ELECTRIC POWER GENERATION,100,103.6,103.6,1,0
RICHMOND CSG,45.46052861,-94.51312364,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
TAYLORS FALLS CSG,45.391842,-92.68435,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
BIG GEORGE PV,41.902312,-70.716128,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
SCE&G CURIE CSG,32.88904108,-81.10488641,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
SCE&G NIMITZ CSG,33.491,-81.297,SOLAR ELECTRIC POWER GENERATION,8,8,8,1,0
SCE&G SPRINGFIELD CSG,33.49107733,-81.2969881,SOLAR ELECTRIC POWER GENERATION,6.1,6.1,6.1,1,0
DG AMP SOLAR COLDWATER,41.934117,-84.997244,SOLAR ELECTRIC POWER GENERATION,1.3,1.3,1.3,1,0
DG AMP SOLAR ORRVILLE 3,40.856428,-81.759461,SOLAR ELECTRIC POWER GENERATION,2.3,2.3,2.3,1,0
DG AMP SOLAR VERSAILLES,40.2207,-84.4978,SOLAR ELECTRIC POWER GENERATION,1.8,1.8,1.8,1,0
DG AMP SOLAR JACKSON CENTER,40.444969,-84.047247,SOLAR ELECTRIC POWER GENERATION,1.6,1.6,1.6,1,0
DENVER BRASWELL PV,31.3,-83.8,SOLAR ELECTRIC POWER GENERATION,1.4,1.6,1.4,1,0
FARMINGTON SOLAR FARM,37.755333,-90.427736,SOLAR ELECTRIC POWER GENERATION,2.5,2.5,2.5,1,0
NORTHFIELD HOLDCO CSG,44.457874,-93.124648,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
WATERFORD HOLDCO CSG,44.475467,-93.19859,SOLAR ELECTRIC POWER GENERATION,2.7,2.7,2.7,1,0
B.R. CORCORAN CSG,45.0695,-93.6432,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
B.R. SARTELL CSG,45.665,-94.2254,SOLAR ELECTRIC POWER GENERATION,3,3,3,3,0
B.R. SAUK RAPIDS CSG,45.6236,-94.0782,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
MONTGOMERY WINSTED CSG,44.9517,-94.0556,SOLAR ELECTRIC POWER GENERATION,3,3,3,3,0
PALMER SOLAR CENTER,37.96630725,-78.23086782,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
MARTIN SOLAR CENTER,37.88051,-78.049191,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
GEORGIA POWER AT SWAINSBORO,32.60549493,-82.32124746,SOLAR ELECTRIC POWER GENERATION,2.9,2.9,2.9,1,0
IOS - MEW PHASE 1,44.80344797,-69.83739086,SOLAR ELECTRIC POWER GENERATION,4.1,4.1,2.9,1,0
NORTH SMITHFIELD SOLAR POWER 1,41.9759,-71.586,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
IGS SOLAR I - BWI2,39.267,-76.548,SOLAR ELECTRIC POWER GENERATION,1.4,1.4,1,1,0
IOS - ERW9,40.595,-74.225,SOLAR ELECTRIC POWER GENERATION,5.3,5,4.1,1,0
CITY OF LEXINGTON,40.75265986,-99.73761678,SOLAR ELECTRIC POWER GENERATION,3.5,3.6,1.6,1,0
VALDOSTA PRISON,30.86326707,-83.34761896,SOLAR ELECTRIC POWER GENERATION,1,1.2,1.1,1,0
LICHTENTHAL,43.01979602,-78.15418351,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
CALL FARMS 1,43.03842218,-78.1848394,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
CALL FARMS 3,43.023046,-78.17940478,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
HOPEWELL VALLEY HIGH SCHOOL,40.32928039,-74.80520057,OTHER ELECTRIC POWER GENERATION,1.9,1.9,1.9,2,0
"SUNE FEELY 1 CSG, LLC",44.655217,-93.110402,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
"COTTAGE GROVE CSG, LLC",44.842124,-92.873655,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
"FOX CSG, LLC",45.39088696,-92.68071738,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
"SUNE STOLEE CSG, LLC",44.173879,-93.35047,SOLAR ELECTRIC POWER GENERATION,3,3,3,3,0
"WYOMING 2 CSG, LLC",45.35,-92.95,SOLAR ELECTRIC POWER GENERATION,5,5,5,5,0
SL BABYLON,40.73221457,-73.37580445,SOLAR ELECTRIC POWER GENERATION,9,9,9,1,0
NYU LANGONE HEALTH,40.746778,-73.972226,FOSSIL FUEL ELECTRIC POWER GENERATION,26.5,19.1,19.1,10,0
CAMERON SOLAR,33.57839724,-80.707533,SOLAR ELECTRIC POWER GENERATION,20,20,20,1,0
ESTILL SOLAR,32.7673646,-81.24373096,SOLAR ELECTRIC POWER GENERATION,20,20,20,1,0
FIRST CITIZENS BANK,35.728517,-78.639206,SOLAR ELECTRIC POWER GENERATION,0,0,0,0,0
WRIGHT CUDDYER,45.1831,-93.7341,SOLAR ELECTRIC POWER GENERATION,4,4,4,4,0
CARVER GLADDEN CSG,44.80738554,-93.8720712,SOLAR ELECTRIC POWER GENERATION,3,3,3,3,0
HAMPTON SOLAR 2,32.87987689,-81.13590482,SOLAR ELECTRIC POWER GENERATION,20,20,20,1,0
CED FOSTER,41.79551396,-71.78701904,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
PORTER WAY COMMUNITY SOLAR GARDEN,44.851028,-93.778397,SOLAR ELECTRIC POWER GENERATION,3,3,3,1,0
RJC I CSG,44.125053,-93.279116,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
HUNEKE I CSG,44.26695578,-92.66931237,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
KRAUSE CSG,44.795624,-95.209719,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
DG NEW JERSEY SOLAR RLS LOGISTICS,39.575217,-75.014147,SOLAR ELECTRIC POWER GENERATION,4,4,4,1,0
MONROE COUNTY SITES A & B,43.17301452,-77.39217689,SOLAR ELECTRIC POWER GENERATION,3.4,3.4,3.4,2,0
"MONROE COUNTY SITES C, D, & E",43.31701968,-77.74391996,SOLAR ELECTRIC POWER GENERATION,6,6,6,3,0
BURT COUNTY WIND,41.88464847,-96.34479061,WIND ELECTRIC POWER GENERATION,0,0,0,0,0
"BULLOCK SOLAR, LLC",36.47517864,-78.31620111,SOLAR ELECTRIC POWER GENERATION,50,50,50,1,0
DG CAMDEN LLC HOLTEC,39.910969,-75.12050357,SOLAR ELECTRIC POWER GENERATION,2.2,2.2,2.2,1,0
SCHOOL SISTERS CSG,44.17894145,-93.9706866,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
CANDLEWOOD SOLAR,41.5725,-73.453889,SOLAR ELECTRIC POWER GENERATION,0,0,0,0,0
301 CHESTNUT SOLAR NG,42.05546454,-72.5206093,SOLAR ELECTRIC POWER GENERATION,4.3,4.3,1.7,1,0
BAKER POINT,39.570338,-77.363415,SOLAR ELECTRIC POWER GENERATION,9,9,9,1,0
ROSEWOOD SOLAR,35.4375,-78.10709,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
SWAMP FOX SOLAR,33.791505,-81.256166,SOLAR ELECTRIC POWER GENERATION,10.8,10.8,10.8,1,0
CHAMPION SOLAR,33.794732,-81.262417,SOLAR ELECTRIC POWER GENERATION,10.8,10.8,10.8,1,0
HALEY SOLAR,33.023402,-81.29337,SOLAR ELECTRIC POWER GENERATION,8.2,8.2,8.2,1,0
ABD FARMS,35.72852861,-79.74909153,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
ANTANAVICA SOLAR,42.25046167,-71.95055352,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
BAKATSIAS SOLAR,36.07375099,-79.34804326,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
BAYBORO SOLAR FARM,35.148339,-76.810226,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
ESTILL SOLAR II,32.727842,-81.253453,SOLAR ELECTRIC POWER GENERATION,10.2,10.2,10.2,1,0
GASTON SOLAR I - SC,33.774657,-81.110546,SOLAR ELECTRIC POWER GENERATION,10.2,10.2,10.2,1,0
ISLAND GROVE SOLAR,34.751178,-79.211568,SOLAR ELECTRIC POWER GENERATION,0,0,0,0,0
MUSTANG SOLAR,35.415572,-79.563367,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
OLD CAROLEEN SOLAR FARM,35.297715,-81.812045,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
STATESVILLE SOLAR,35.739704,-80.712405,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
WAKEFIELD SOLAR,35.81440732,-78.31211747,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
WESTON LANDFILL SOLAR,42.374553,-71.2825,SOLAR ELECTRIC POWER GENERATION,1.8,1.8,1.8,1,0
BRAINTREE LANDFILL SOLAR,42.207264,-70.997778,SOLAR ELECTRIC POWER GENERATION,1,1,1,1,0
GELD SOLAR FARM,42.26022266,-71.50140388,SOLAR ELECTRIC POWER GENERATION,2.3,2.3,2.3,1,0
FORT HAYS STATE UNIVERSITY WIND FARM,38.87387818,-99.40527111,WIND ELECTRIC POWER GENERATION,4,4,4,2,0
TOWN OF ROCKY HILL,41.643223,-72.633011,SOLAR ELECTRIC POWER GENERATION,3,3,3,3,0
"POPESUN CSG, LLC",45.643438,-95.526171,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
"CF NOVEL SOLAR CSG GARDENS FIVE, LLC",44.09350007,-93.40456077,SOLAR ELECTRIC POWER GENERATION,3.4,3.4,3.4,1,0
"LESUN CSG, LLC",44.21243949,-93.54925356,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
"CGSUN, LLC",44.84643122,-92.8751706,SOLAR ELECTRIC POWER GENERATION,4,4,4,1,0
"WRIGHTSUN CSG, LLC",45.21297978,-93.71868533,SOLAR ELECTRIC POWER GENERATION,5,5,5,1,0
"CF NOVEL SOLAR CSG GARDENS SEVEN, LLC",45.43004914,-94.01827631,SOLAR ELECTRIC POWER GENERATION,3.3,3.3,3.3,1,0
NRG DG HAVERHILL,42.8108245,-71.12351987,SOLAR ELECTRIC POWER GENERATION,4.2,4.2,4.2,1,0
GOOD SAMARITAN HOSPITAL,41.111498,-74.135402,FOSSIL FUEL ELECTRIC POWER GENERATION,1.9,1.9,1.9,3,0
FORT DETRICK SOLAR PV,39.43784897,-77.45194164,SOLAR ELECTRIC POWER GENERATION,15.7,15.7,12.6,1,0
COMER SOLAR,34.09473538,-83.14447702,SOLAR ELECTRIC POWER GENERATION,2,2.2,2.2,1,0
